Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
4930556M19Rik,0,0,-15.89665104,-23.84905961,-17.75695072
4930562F07Rik,8.09619576,1.8991279793,-8.271487191,-15.52722043,-10.84990409
4930564C03Rik,0,8.9867295233,17.295636539,0,0
4930572P05Rik,0,26.942530112,0,0,0
4930579C12Rik,0,11.554995976,13.795650658,0,0
4930581F22Rik,0,0,0,-16.20022083,-7.312908075
4930599N23Rik,0,36.060993097,65.078395326,48.117892221,29.05724565
4931406C07Rik,0,0.343810248,0,0,-10.931251
4931406P16Rik,0,0,0,0,-6.830347272
4931428F04Rik,0,0,-12.74559246,0,0
4932415M13Rik,0,0,40.326171072,36.784128023,21.508268324
4932438A13Rik,0,18.801272032,0,0,0
4933408J17Rik,0,0,0,0,12.306437727
4933416E14Rik,0,0,0,28.723951039,57.935101401
4933417G07Rik,0,0,0,10.555547928,7.1674433353
4933427D14Rik,0,-18.52172065,0,0,0
4933439C10Rik,0,-11.4713454,-15.87768754,-13.73646857,0
5031425E22Rik,0,16.45958624,0,0,0
5031426D15Rik,0,-4.269889639,0,-10.22958642,0
5031439G07Rik,0,-11.57823907,-10.29153978,0,0
5033406O09Rik,0,0,9.9315339271,11.372357963,0
5033418A18Rik,0,0,10.107402674,0,18.22583359
5033430I15Rik,0,0,0,0,20.831217951
5230400M03Rik,0,30.181407312,33.073933177,0,0
5330417C22Rik,0,-21.3610556,-43.30183835,-48.82740889,-34.94024648
5430402P08Rik,0,1.4223119487,0,-26.56237025,-23.0548565
5430403G16Rik,-14.78406396,0,0,0,0
5430411C19Rik,0,0,0,-10.88430722,0
5430414B12Rik,0,0,0,0,-11.88090549
5430427O19Rik,0,26.17100854,42.026250005,34.803808916,30.154739255
5430440L12Rik,0,-6.193488305,-7.987062898,-9.496257232,0
5530402H23Rik,-12.86325842,0,0,0,0
5730409E04Rik,0,0,-12.27554644,0,0
5730416F02Rik,0,0,14.758003471,12.345233072,0
5730416O20Rik,0,0,0,-25.67273949,-18.53560936
5730455P16Rik,0,0,-5.691282053,11.315105,8.8065032447
5730507C01Rik,-13.61144232,0,0,0,0
5730559C18Rik,0,0,10.806460159,24.090949494,16.349429138
5830409B07Rik,-13.10334345,0,0,0,0
5830420C07Rik,-9.135323372,-0.450636102,0,0,0
5830428M24Rik,0,0,-13.969675,-30.3253006,-19.4546021
5830454E08Rik,0,0,-11.19010589,-11.05033995,0
5830468F06Rik,0,0,0,0,22.604100459
5930430L01Rik,13.893056807,0,-24.15912354,-20.46296824,-31.66168443
6030422H21Rik,0,0,38.321523956,0,0
6030487A22Rik,21.660032395,0,0,-11.61678776,-8.886162608
6230424C14Rik,12.125974322,0,-21.69615666,-25.17876106,-15.48200585
6330403K07Rik,0,-10.84963497,-34.91323998,-23.96557188,0
6330403L08Rik,0,0,-20.66153345,0,0
6330407A03Rik,10.083531978,11.162123929,0,0,0
6330509M05Rik,0,0,-10.40772284,0,0
6430548M08Rik,0,-8.829839272,-2.170291146,0,-22.01157455
6430573F11Rik,0,-7.435823041,0,-14.43940277,-10.58979055
6430590A07Rik,0,0,0,-11.3014676,0
6530406A20Rik,0,0,-9.637797113,-11.10988028,0
6720489N17Rik,0,0,-9.390717635,0,0
7330403C04Rik,0,0,0,-11.39868561,0
8030488J09Rik,0,0,0,-13.30260815,-12.17088773
8030498J20Rik,0,0,0,-9.92749147,-9.808652476
8430406H22Rik,-11.44327113,0,0,0,0
8430408G22Rik,15.072589592,0,0,0,0
8430416G17Rik,0,-16.9792708,-23.01513137,-24.84922305,-13.21534534
8430431K14Rik,0,0,0,-16.80313187,-14.22164161
9030624J02Rik,0,-3.223904235,10.386952779,7.26202516,8.9559513987
9130230L23Rik,0,0,0,-16.14216382,-14.77584795
9130401M01Rik,0,0,0,9.6161273909,7.6346300121
9230104L09Rik,0,0,-23.77906034,0,-21.24010367
9230110I02Rik,0,-13.35206707,-12.48960992,-15.31848882,-17.5730589
9230114K14Rik,0,3.5021596473,0,0,0
9330151L19Rik,-24.67703212,-13.17656026,0,0,0
9330159F19Rik,-26.62038241,-11.72460325,0,0,-19.03668311
9330159N05Rik,0,0,0,0,-8.614990158
9330161L09Rik,0,0,9.4587639253,0,0
9330171B17Rik,0,31.39125184,0,0,0
9330175E14Rik,0,32.017835737,61.568631893,26.976053429,20.376975526
9330182L06Rik,0,0,-8.338696464,-13.49325746,0
9330188P03Rik,0,0,-11.10760899,-15.91774773,0
9430040K09Rik,0,5.908960982,0,0,0
9430079G20Rik,0,0,-15.98045275,-25.86588616,-21.33376519
9530003J23Rik,0,-16.90909965,-27.98280342,-34.83045823,-24.50020079
9530006C21Rik,0,0,0,-17.18363328,-21.96200449
9530010C24Rik,0,0,-17.30023332,-20.99622891,-18.58811526
9530026P05Rik,0,-13.3005777,-26.48100351,-55.42292957,-53.40040105
9530039L23Rik,0,0,0,0,-20.88363241
9530068E07Rik,20.638692803,-15.25477609,10.356775586,0,0
9530076L18,0,14.415809816,29.477301507,0,0
9530083O12Rik,0,0,-25.66875291,-35.61482943,-34.04927586
9530091C08Rik,0,-19.57461877,-40.55426872,-26.58271024,-21.94021778
9630010G10Rik,0,-17.88110162,0,0,0
9630013D21Rik,0,0,-25.0541223,0,0
9630025F12Rik,0,-5.999122041,0,0,0
9630028I04Rik,0,6.5664840137,-7.750010684,0,0
9630041I06Rik,0,0,0,0,26.100093228
9830163H01Rik,0,0,0,-9.624183354,-8.025074507
9930012K11Rik,0,-11.81878417,-13.4136345,0,0
9930014A18Rik,-10.87136136,-3.31970458,-12.02276758,0,-20.15324534
9930021J03Rik,0,15.802177545,0,-17.73629089,-12.07619203
9930024M15Rik,0,0,-9.216265468,-16.84184319,0
9930104L06Rik,-9.998720163,0,0,0,0
9930111J21Rik2,0,24.76666843,35.229698737,24.767222521,0
A030010E16Rik,0,0,0,-9.144043175,0
A2m,0,0,0,0,48.576952117
A2ml1,-15.97678892,0,0,0,0
A130001C09Rik,0,11.324569021,0,0,0
A130014H13Rik,0,0,0,0,24.853305907
A130019P10Rik,0,0,0,-9.912272665,0
A130071D04Rik,0,0,0,0,27.211303154
A130096G17Rik,0,0,0,0,31.836004063
A230050P20Rik,0,13.892309617,23.980450173,0,0
A230056P14Rik,0,0,0,0,-10.50148616
A230057D06Rik,0,-16.10663388,-18.96930966,0,0
A230072C01Rik,0,1.5032813387,0,0,0
A330076H08Rik,0,0,-25.51353252,-17.16249606,0
A430035B10Rik,0,0,-11.80018603,-20.34223768,-15.7788959
A430046D13Rik,0,0,-17.14635117,0,0
A430093F15Rik,0,0,0,0,77.086953637
A430108G06Rik,0,0,0,0,-11.79195382
A530020G20Rik,0,-19.96178295,-19.81771824,-22.73589397,-9.472789069
A530032D15Rik,0,28.491989337,62.481102831,36.586703384,28.060543159
A530040E14Rik,0,28.468352952,72.875760105,37.094363119,29.380821877
A530064D06Rik,0,31.152314551,55.802785831,25.738301998,0
A530088E08Rik,0,0,0,0,18.258954744
A530099J19Rik,0,0,0,-17.01659527,0
A630001G21Rik,13.893056807,0,0,0,0
A630005I04Rik,11.058179293,0,0,2.4112261637,18.539593639
A630012P03Rik,0,-16.50851569,-8.936472257,0,0
A630081D01Rik,0,0,9.8707001753,0,31.272647795
A730008H23Rik,0,0,0,0,5.8040573005
A730009E18Rik,0,0,-14.95391727,-25.75442735,-17.22523442
A730027B03Rik,-13.96850939,0,0,0,0
A730049H05Rik,0,16.265714376,27.59901802,0,0
A730054J21Rik,0,0,-31.76975326,-15.68658906,0
A830005F24Rik,0,0,0,0,18.361318953
A830010M20Rik,0,9.4079147841,0,0,0
A830091E24,13.893056807,0,0,0,22.962097697
A930001A20Rik,0,0,0,-33.99442111,0
A930003A15Rik,0,0,0,0,22.643002309
A930004D18Rik,0,0,-15.02373948,0,0
A930009E08Rik,0,-8.544160014,0,0,0
A930018M24Rik,0,-12.56245291,-20.57809319,-15.89275999,0
A_51_P114236,-10.08353198,0,0,-17.25722504,-12.90972023
A_51_P114407,-9.518153022,0,0,0,0
A_51_P131266,0,0,-9.840088236,0,0
A_51_P139641,12.570078187,0,0,0,0
A_51_P144143,0,26.635728739,25.929327327,19.831303033,13.687451759
A_51_P158315,11.359041115,55.744446423,41.055050516,0,0
A_51_P172241,12.23169771,0,0,-15.13744864,-18.72543793
A_51_P174350,-16.34884512,0,0,0,0
A_51_P178411,0,0,36.712938581,55.25175277,33.212681867
A_51_P182813,-16.17777433,0,0,0,0
A_51_P183543,7.6095161567,0,-11.9266588,-15.72316848,0
A_51_P201445,-14.72762726,0,0,0,0
A_51_P257640,0,0,0,10.754031947,8.1372481227
A_51_P295037,0,0,0,10.165730631,9.3876557885
A_51_P302550,0,0,10.317579489,11.339969174,19.386954733
A_51_P305138,0,0,-27.7924826,-29.34908412,-32.28776575
A_51_P315849,-24.73775313,0,0,0,0
A_51_P346472,0,-2.080142281,0,0,-10.6091956
A_51_P350172,0,0,-9.933887844,0,0
A_51_P350378,0,0,-10.73986166,-9.340900997,0
A_51_P363275,0,-1.649016115,0,0,-10.9562716
A_51_P402908,0,13.551798275,13.608071852,20.856958745,0
A_51_P410404,-9.56524068,0,0,0,0
A_51_P426986,0,-1.410801911,0,0,0
A_51_P460622,-13.61144232,0,0,0,0
A_51_P482490,0,-2.687897199,0,0,0
A_51_P516033,0,0,0,0,-11.03405031
A_52_P5263,12.23169771,23.193370433,38.942474034,0,0
A_52_P6621,0,0,10.045656541,15.480880697,0
A_52_P12023,0,0,-9.275427458,0,0
A_52_P12144,0,-21.09818943,0,0,0
A_52_P13337,0,12.204530061,0,0,0
A_52_P17446,0,0,-8.807820794,0,0
A_52_P20211,-14.37128502,0,0,0,0
A_52_P25357,-8.95518111,-20.24564071,-28.63778968,-40.5747741,-29.94503944
A_52_P25932,0,0,0,38.104914243,73.695714573
A_52_P30803,0,0,0,-15.24963373,-12.04304245
A_52_P36261,0,37.224125595,53.619597877,0,0
A_52_P36591,0,0,0,61.293663748,93.607359417
A_52_P37431,0,0,-11.22249172,0,0
A_52_P44534,-14.56112761,0,0,0,0
A_52_P49453,0,0,0,0,-12.14202725
A_52_P52311,0,0,0,-9.241614653,0
A_52_P54976,11.058179293,0,0,0,0
A_52_P55489,0.5465098967,0,0,13.742741094,18.966669597
A_52_P57582,0,9.3895292587,33.940893983,34.872351113,0
A_52_P58930,-10.61003455,0,0,0,0
A_52_P61505,10.610034547,0,0,0,0
A_52_P68440,-31.64745054,0,0,0,0
A_52_P68558,0,0,0,-8.222979812,0
A_52_P71146,-10.90208186,0,0,0,0
A_52_P72186,-16.05992278,0,0,0,0
A_52_P72354,0,0,10.530532692,0,0
A_52_P76196,0,0,0,0,10.459936106
A_52_P80305,0,0,0,13.545865419,11.935373854
A_52_P82765,0,0,0,0,-10.53831742
A_52_P87395,23.105028702,0,0,0,0
A_52_P88296,-15.57399517,0,0,0,0
A_52_P92568,15.764913608,0,0,0,0
A_52_P95150,0,13.363184237,34.085784842,0,0
A_52_P96360,0,-11.3581987,0,-7.271136196,0
A_52_P98160,0,0,0,0,-11.8050564
A_52_P99082,0,0,0,0,-31.49257685
A_52_P103319,0,0,0,-13.92582032,-14.97395167
A_52_P103628,0,0,7.7032027238,11.417776456,0
A_52_P104444,-16.64868609,0,0,0,0
A_52_P105928,0,0,0,-8.635386519,0
A_52_P112443,-11.8835413,0,44.055258839,0,0
A_52_P113916,-14.84093486,0,0,0,0
A_52_P113950,0,0,0,19.416322546,0
A_52_P119721,0,40.283090059,0,0,0
A_52_P121978,0,0,-6.386182224,0,-15.2151083
A_52_P135398,0,0,0,0,15.155271538
A_52_P135873,41.273596868,17.332723096,17.240701458,0,0
A_52_P139248,12.559847675,0,0,0,0
A_52_P143357,0,-9.636035999,0,-9.666498161,-21.32123668
A_52_P146457,-14.23892923,0,0,0,0
A_52_P146504,-15.70075615,0,0,0,0
A_52_P151780,0,0,0,0,-9.686005938
A_52_P154311,0,-4.928078047,0,-7.777689134,0
A_52_P154434,0,-4.963441359,0,0,0
A_52_P158095,0,0,0,0,-23.19696676
A_52_P160095,10.871361355,0,0,0,0
A_52_P170573,10.610034547,0,0,0,0
A_52_P173226,-16.59497637,0,0,-54.98993954,0
A_52_P175748,0,0,0,-11.92831161,0
A_52_P175852,0,0,9.4557717247,0,0
A_52_P178298,0,0,-13.59413408,0,0
A_52_P179599,0,26.622058104,0,0,0
A_52_P181158,-11.05817929,0,0,0,0
A_52_P182118,0,11.827821215,42.245259667,30.547823019,19.860129395
A_52_P186352,-13.9558771,0,0,0,0
A_52_P186362,0,0,0,-14.38087568,-27.52252108
A_52_P186485,0,0,18.023243371,0,0
A_52_P189256,0,-2.637161161,0,0,0
A_52_P189338,8.5772709183,0,0,0,0
A_52_P190270,-3.303826847,0,0,0,0
A_52_P197179,-15.84585156,0,0,0,0
A_52_P199922,0,0,0,0,8.0201423081
A_52_P200925,0,0,0,14.602560467,21.520582874
A_52_P207654,-16.63074426,0,0,0,0
A_52_P213220,0,0,-10.62094805,0,0
A_52_P214241,-15.34203534,0,0,0,0
A_52_P218590,0,0,0,0,10.894399309
A_52_P218883,-16.61284106,0,0,0,0
A_52_P221024,0,0,0,17.249889392,19.332389158
A_52_P221057,0,1.1172258957,-12.91891272,0,-9.221520309
A_52_P223838,0,0,0,8.8217860853,14.834194573
A_52_P226407,0,4.2416257673,-13.93305098,-32.22884924,-29.26372818
A_52_P229210,0,0,0,19.10639449,24.262403905
A_52_P229411,-15.6761757,0,0,0,0
A_52_P229471,0,-8.045773807,0,-9.91418157,0
A_52_P232314,0,0,0,15.970015037,15.401391748
A_52_P238492,-15.66887284,0,0,0,0
A_52_P245911,0,23.982368727,28.773092198,0,0
A_52_P247974,0,-1.947629775,0,0,0
A_52_P249322,-15.66887284,0,0,0,0
A_52_P250664,13.025921583,0,0,0,0
A_52_P256421,0,-3.914911374,-14.82353057,-10.9431513,-9.353822494
A_52_P259126,-13.09222688,0,0,0,0
A_52_P264458,0,-9.184743585,0,0,0
A_52_P266770,0,0,0,11.009881059,0
A_52_P272054,-12.23169771,0,0,18.660258164,24.090374759
A_52_P273438,0,0,0,0,8.5001506587
A_52_P275106,0,-6.856694922,0,0,0
A_52_P285722,0,0,0,0,39.963041372
A_52_P289231,-1.591372775,0,0,0,0
A_52_P302147,0,0,0,0,-15.47564441
A_52_P304419,0,0,-9.039887237,0,0
A_52_P309642,-27.41853256,0,0,0,0
A_52_P313570,0,0,0,0,10.336368717
A_52_P315236,-11.819828,0,0,0,0
A_52_P315423,0,20.006306046,43.524570658,0,0
A_52_P318053,0,0,0,0,-8.318088855
A_52_P318073,0,0,0,45.829849626,92.39930403
A_52_P320301,-10.03774191,0,0,0,0
A_52_P320553,30.509807703,0,0,0,-9.479277818
A_52_P322976,-15.87845992,0,0,0,0
A_52_P324448,-26.47575375,0,-13.59418004,0,0
A_52_P325755,0,-8.96191262,0,0,-12.26700015
A_52_P325797,0,0,12.146707011,12.403738879,12.185104203
A_52_P327054,0,0,0,0,-35.52883545
A_52_P327070,0,0,0,0,-11.01995768
A_52_P328621,0,-10.55409569,-16.63517513,-22.55042488,-17.01318163
A_52_P334259,0,25.093283326,47.046407932,0,0
A_52_P336685,0,0,0,0,14.470693517
A_52_P337716,-22.0181375,0,0,12.540629538,7.9537526286
A_52_P339422,12.993222735,20.311105827,23.006415209,0,0
A_52_P342015,0,-11.24042329,-21.46668434,-13.97853815,-17.53823237
A_52_P343293,0,0,0,0,-16.9359775
A_52_P345840,0,0,0,0,6.673486029
A_52_P348522,-13.76909774,0,0,0,0
A_52_P351021,-12.12597432,0,0,0,0
A_52_P351116,0,0,0,34.541000787,35.261354746
A_52_P351205,-15.86213898,0,0,0,0
A_52_P355480,15.342035335,0,0,0,0
A_52_P356562,0,0,9.1010871353,0,0
A_52_P367384,18.511598018,0,0,0,0
A_52_P368690,0,30.929112921,38.440935403,0,35.571853643
A_52_P374383,0,0,0,0,-9.863299189
A_52_P374676,0.2250202117,0,0,0,0
A_52_P375351,0,0,-12.58625368,0,0
A_52_P377947,11.058179293,-2.326296823,0,0,0
A_52_P379375,-13.9558771,0,0,0,0
A_52_P382410,15.91120276,0,0,0,0
A_52_P390030,10.083531978,0,0,0,0
A_52_P390448,0,-14.42182806,-26.11807179,-17.53051121,-10.60939914
A_52_P390700,0,0,0,0,14.915614714
A_52_P395508,0,0,0,17.491698708,23.32164164
A_52_P395528,13.539788022,0,0,0,0
