"","867451","867457","494014","494017","494020","494023","494026","867481","867484","867478","867454","839431","839425","839434","867490","839428","494053","494056","494050","494011","839443","867487","926614","926620","867493","867463","957619","685193","833452","685187","823402","834109","840316","494047","821656","867505","867511","685217","995287","685247","685178","821662","833455","834112","823408","839446","840319","685244","995284","1326109","867508","995281","957616","823396","839440","821650","833449","867499","867469","867475","867472","867496","867502","867460","867466","823390","821644","839437","494038","494044","494041","494029","494035","494032"
"Ppm1a",0,42.59342869,11.38231371,12.71436418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47.99846405,0,-22.87209467,-44.66678578,-41.48757862,-48.98790978,-37.04307369,-40.73983541,-52.81281028,-39.12301842,-30.32729214,-28.27318684,-21.79114495,-20.27057159,-49.40565003,-42.34058769,-40.79334905,-28.53425252,-51.00999796,-36.10499332,-33.05304352,-29.93527992,0,-41.73030538,-48.04827891,-46.34220941,-56.17409475,-61.14039056,-57.60567762,-46.76306092,-39.47295708,-51.00999796,-49.51132324,-48.22298307,-49.27419116,-43.33018467,-32.3379706,-21.87341418,-34.92132226,-32.47385854,-26.22496827,-33.29049956,-27.74833371,-28.86319423,-15.31829893,-29.42214899,-20.54924009
"Tmem100",0,0,24.63539614,37.62963409,26.23239806,24.15388926,0,0,0,0,0,0,0,0,0,0,-34.13668328,-26.46454809,-32.23664275,-25.63721293,0,0,0,0,0,0,0,0,0,-55.73452531,-55.03940822,-39.22245407,-38.99121918,-23.4984491,0,-39.27205322,-58.88657268,-45.95165885,-32.58815095,-43.45218956,-27.82322237,-60.26565099,-45.58965662,-54.13950668,-73.33206224,-54.65018417,-47.14357103,-39.20584638,-34.30084586,0,-58.33080567,-32.46247338,-38.89325358,-60.30490158,-57.1441633,-59.26347355,-59.9534761,-43.0285193,-51.12265347,-53.54522966,-38.66587273,-41.82455436,-41.01016232,-12.57121594,-21.87341418,-34.21236298,-39.0405397,-31.13208722,0,-18.71124434,-17.61909628,0,-13.60870086,-13.38272451
"Tspan2",0,0,0,0,0,12.62259697,0,0,0,0,0,0,0,0,0,0,-29.98374881,0,0,0,0,-69.17255786,54.33247126,-39.58577446,0,0,0,0,-39.5741818,-52.27610146,-55.26938297,-34.35174816,-28.02517782,-22.11880452,-42.71131423,-51.49224527,-54.94143243,-36.96912339,-33.27853468,-37.75237462,-30.32729214,-30.93465981,-51.00999796,-30.65829491,-43.41144499,-40.45503827,-28.06765427,-30.83165301,-34.30084586,0,-61.87506188,-52.18825347,-50.53721055,-54.29765977,-64.68221627,-63.83576335,-59.07442196,-61.79247615,-75.66700465,-71.24638425,-68.71057731,-75.48195227,-72.92775776,-35.37443843,-35.37443843,-17.28716048,-30.23815571,-20.03831325,-21.90964463,-24.59613152,-27.92391292,-14.55104215,-25.40534224,-23.55823596
"1810010H24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48.04827891,-45.63459467,-48.17280549,-39.76079903,0,0,0,-44.6217415,0,-35.24005526,0,-60.65973528,-69.17255786,-62.24867099,-47.3363818,-43.94677167,-35.99271507,-23.87386957,-68.9664685,-60.03121623,-54.36141644,-52.54308533,-33.64103668,-49.43202602,-38.36179779,-50.64778517,-61.62796431,-56.86341408,-61.46432611,-68.15424669,-45.81523631,-41.61776579,-52.33519647,-47.57238138,-59.91468149,-44.09326608,-53.82478955,-51.80863961,-55.93654558,-65.27415144,-47.26389322,-58.9240469,-60.34420334,-56.93334244,-51.3779568,-57.03855807,-59.33943343,-57.56986103,-49.45843019,-48.2732653,-44.11427361,-38.52139478,-25.43325551,-26.76258377,-35.95104905,0,-32.76089136,-31.32145206
"Cat",0,0,0,16.75580756,13.91106932,17.50265165,0,0,0,0,0,0,0,0,0,0,-26.40417397,0,0,-31.48099178,0,0,-43.01260269,-37.42290881,0,0,-67.11769759,0,-68.10411757,-61.14039056,-75.05479,-54.71477189,-50.04604236,-19.72690079,-68.05498843,-72.52893905,-61.14039056,0,-22.96854687,-35.45571227,-28.89021142,-54.20289227,-50.59243744,-41.39484055,-56.10601793,-49.0398007,-36.37421795,-33.80045563,-47.5796245,-66.10608705,-44.64524885,-45.25583121,-46.34220941,-67.06908115,-52.66262218,-63.70400571,-57.60567762,-43.249228,-64.77271255,-64.14450474,-56.48185803,-59.79859832,-63.3552965,-41.37634266,-46.59832246,-39.48979189,-38.28249418,-38.860607,0,0,0,0,-20.09476692,-12.77749525
"Slc4a5",0,0,-12.23915305,0,0,-16.10918159,0,0,0,0,0,0,0,0,0,0,0,0,0,-62.1650856,-83.35834084,0,0,-31.26015955,-62.1241489,-52.96329644,-63.92390498,0,-28.11879629,-65.45873481,-70.48706562,-69.79730862,-57.4983613,-58.44125485,-78.35394042,-65.45873481,-60.18730289,-42.59342869,-29.31038526,-35.21325145,-34.17448123,-61.95786865,-30.37685527,-47.16758643,-49.75074875,-52.15885501,-39.48979189,-52.10015734,-56.62001178,0,-55.36853296,-55.30239349,-62.04089736,-69.90269545,-66.92454926,-71.9652264,-69.01787563,-41.11943551,-66.73161878,-48.93612856,-54.42532301,-54.97405225,-55.23641184,-49.22228785,-52.69259142,-46.11142364,-45.83791713,-40.70401667,-21.90964463,-66.25412432,-54.77951246,0,-48.91027898,-31.91482571
"5330417C22Rik",0,0,0,0,15.08150043,18.94068535,0,0,0,0,0,0,0,0,0,0,0,0,0,-44.00943562,-80.5334536,0,0,-55.46188659,-72.13341797,-46.04305947,0,0,-86.46928611,-66.25412432,-75.72889057,-63.57279085,-56.75884303,-51.03811526,-76.22764624,-60.62002158,-61.91643758,-49.09180167,-34.98729961,-42.12867783,-43.47259053,-49.91115814,-52.81281028,-53.20677216,-58.14764851,-53.20677216,-43.12873064,-60.03121623,-57.46267799,0,-53.17621534,-58.8491461,-67.21514223,-70.54076551,-60.14820518,-70.54076551,-62.96832693,-42.88900326,-70.81049695,-41.74912118,-49.7774946,-60.85908687,-59.07442196,-53.20677216,-49.45843019,-47.36059409,-49.22228785,-37.01345809,-21.44818119,-30.45679095,-26.02607813,0,-34.85559328,-16.99547241
"Ccdc129",-65.22816813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48.12319538,0,0,0,0,-72.13341797,-52.15885501,0,0,-82.39539904,-57.89382273,-67.21514223,-69.17255786,-59.8372427,-62.66999235,0,-68.9664685,-62.58527243,-48.55170271,-31.27912869,-34.11153106,-38.74677433,-57.03855807,-42.34058769,-52.24714992,-55.10491977,-48.50083906,-45.81523631,-63.96806714,-52.04159164,0,-47.11958007,-56.62001178,-59.91468149,-59.11213572,-53.02395622,-57.10891813,-49.8842685,-43.88428591,-59.14989767,-51.40648133,-53.66879911,-51.89575181,-49.3529824,-40.12229275,-51.7507271,-52.21768509,-60.46168543,-36.73472387,0,-48.22298307,-36.44580509,0,-38.17230981,-37.52317056
"P2rx6",0,0,0,0,0,0,0,0,-63.66020728,0,0,0,0,0,0,0,0,0,0,-33.97385372,0,0,0,0,0,0,0,0,-82.24901712,-55.73452531,-62.75494195,-69.17255786,-50.59243744,-62.45862116,-55.76809396,-55.63468043,-42.01398225,-34.66012284,-15.70514532,-23.45688858,0,-51.32100261,-34.30084586,-44.13530118,-41.48757862,-35.63309317,-33.43452851,-49.30042694,-36.66199837,0,-56.79365728,-68.45657799,-65.45873481,-70.37991076,-61.14039056,-72.81305975,-71.52052639,-32.72615409,-60.58035985,-40.93763561,-54.65018417,-41.5247903,-35.64681139,-34.1492733,-31.53459976,-34.59537252,-33.9863239,-31.13208722,-45.43348084,-51.49224527,-45.5228297,0,-47.48202805,-28.65789353
"Plekhd1",0,0,0,0,0,0,0,-59.99232098,0,0,0,0,0,0,0,0,-30.9656962,0,0,-44.38881047,-74.3317575,-84.4979974,0,0,0,0,0,0,-61.30155461,0,-62.29054803,-53.42165714,-43.12873064,-39.91506075,-60.77918921,-66.30156604,-70.16756013,-38.34591079,-24.51809681,-38.29832866,-28.14427883,-47.16758643,-42.57384433,0,-43.8219776,-52.87312565,-44.43141123,-43.08859014,-47.38483117,0,-36.35993426,-31.96971828,-33.29049956,-41.2657016,-49.22228785,-50.7310342,-38.795478,-39.47295708,-65.55141853,-57.03855807,-56.14003571,-49.99200128,-50.1002004,-62.58527243,-54.04470578,0,-50.95437545,-48.04827891,0,-33.86226186,-26.02607813,-16.62355624,-34.45400735,-28.93518519
