Gene,Mean(0.5),Mean(1),Mean(2),Mean(4),Mean(7)
2010309G21Rik,0,0,-24.40747737,0,0
2010317E24Rik,0,0,0,30.879537132,71.58228002
2200002D01Rik,0,0,11.982147729,31.459687641,0
2210009G21Rik,0,0,0,15.382327659,13.078674183
2210011C24Rik,0,-18.69088778,-37.62689269,-49.97379713,0
2210011G09Rik,0,0,-23.1874123,-11.44010026,-12.45831553
2210013O21Rik,0,0,-10.54009727,0,0
2210015D19Rik,0.433409035,0,0,0,0
2210016H18Rik,0,0,-26.43388069,-13.73735206,-11.27567477
2210019G11Rik,14.561127613,0,0,-27.5257655,0
2210020M01Rik,0,0,0,0,-15.52790885
2210404J11Rik,-11.41787125,1.6850624047,-25.9966692,-16.33235898,-18.67029558
2210404O07Rik,0,0,0,0,19.053326374
2210407C18Rik,0,21.626930683,51.882184974,0,0
2210408I21Rik,0,-13.08911426,-17.28670076,-20.36833544,-14.08998695
2210416O15Rik,0,-11.38020186,0,0,0
2300009A05Rik,10.083531978,0,0,0,0
2310001H17Rik,0,12.268619287,12.99100482,0,0
2310001K24Rik,0,-10.08399351,0,-11.85033908,-15.38193791
2310002J15Rik,0,0,0,20.511183501,0
2310003F16Rik,0,0,0,8.4852572176,0
2310003H01Rik,0,-8.384061283,0,-9.316582191,0
2310007B03Rik,9.5181530217,0,0,0,0
2310008H09Rik,-10.87136136,0,13.495287085,12.502718122,0
2310009A05Rik,-11.18628293,0,0,0,0
2310010J17Rik,0,-9.222513253,-16.80039763,-19.26154491,0
2310014L17Rik,0,17.118175962,58.092464228,0,0
2310021N16Rik,0,0,0,-19.63830321,-23.85287312
2310021P13Rik,-19.13180662,0,0,0,0
2310022A10Rik,0,0,22.445432099,0,0
2310022B05Rik,-10.87136136,-3.503457601,10.525733636,0.7192590674,2.5239062776
2310028H24Rik,14.855221017,0,18.732316428,21.216267239,0
2310030G06Rik,0,-9.403422023,0,-17.30343303,-16.43135136
2310033P09Rik,0,0,-10.83194447,0,0
2310034G01Rik,0,0,0,0,-8.781586274
2310036O22Rik,8.5725062583,0,0,0,0
2310043M15Rik,0,21.573860206,29.987599226,0,0
2310044G17Rik,-12.47878606,0,0,0,0
2310045N01Rik,0,0,0,0,12.576915597
2310046O06Rik,-7.609516157,-10.16785393,-7.748021251,0,0
2310047K21Rik,0,-5.901475531,-15.99177806,0,0
2310061C15Rik,-10.08353198,-12.87204171,-15.37424107,0,18.083157923
2310061J03Rik,9.5181530217,1.342321894,0,0,0
2310067B10Rik,0,0,-8.491076346,0,0
2310067E19Rik,10.610034547,0,0,0,-9.085410969
